"","page","searchenginekeyword","pageviews","segment.id","segment.name"
"6122","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc guatemala zica",1,"",""
"6123","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","https://wwwnc.cdc.gov/travel/notices/alert/zika-virus-puerto-rico",1,"",""
"6124","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","family planning guidelines aftwr zika",1,"",""
"6125","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika in jamaica 2017",1,"",""
"6126","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc zika warning",1,"",""
"6127","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika in jamaica 2016",1,"",""
"6128","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","what areas is the zika virus in",1,"",""
"6129","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc zika guidelines trying to concieve",1,"",""
"6130","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus in meico",1,"",""
"6131","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","vaccine for costa rica",1,"",""
"6132","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika map 2017",1,"",""
"6133","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","pregnant women country",1,"",""
"6134","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika cdc recommendations",1,"",""
"6135","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika and mexico",1,"",""
"6136","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika on pregnancy",1,"",""
"6137","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika in turks and cascos",1,"",""
"6138","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how  to gat  pregnant  english.in",1,"",""
"6139","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","https://www.cdc.gov/zika/geo/active-countries.html",1,"",""
"6140","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus advisory for pregnant woman uk",1,"",""
"6141","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","jamaica zike",1,"",""
"6142","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus areas to avoid",1,"",""
"6143","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","is zika virus in jamaica",1,"",""
"6144","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","countries & territories with active local zika virus transmiss",1,"",""
"6145","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","known locations of zika virus",1,"",""
"6146","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika cancun mexico",1,"",""
"6147","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus in pregnancy",1,"",""
"6148","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zica in mexico",1,"",""
"6149","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika areas costa rica",1,"",""
"6150","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika aruba 2017",1,"",""
"6151","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","i8s zika found in kenya '",1,"",""
"6152","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika domincan republic 2017 update",1,"",""
"6153","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus for men",1,"",""
"6154","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","dominican republic.zika",1,"",""
"6155","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika outbreaks",1,"",""
"6156","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zykea virus",1,"",""
"6157","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus argentina",1,"",""
"6158","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika in miami",1,"",""
"6159","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how to avoid mosquito bites in the caribbean",1,"",""
"6160","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus prevalence by country",1,"",""
"6161","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how long to wait to get pregnant after zika exposure",1,"",""
"6162","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","st thomas zika update",1,"",""
"6163","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","getting pregnant after visiting a zika country",1,"",""
"6164","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc zika trying for pregnancy",1,"",""
"6165","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","if you have zika how long to wait to get pregnant",1,"",""
"6166","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","getting pregnant after traveling to domimican republic",1,"",""
"6167","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","greatest zika risk during pregnancy",1,"",""
"6168","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cuba and zika virus",1,"",""
"6169","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","what is the percentake to get zika if you travelled in july at the domincain republic and got pregnant in october",1,"",""
"6170","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus pregnancy guidelines",1,"",""
"6171","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how long does zika virus stay in body?",1,"",""
"6172","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how long after zika exposure to get pregnant",1,"",""
"6173","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika in tortola",1,"",""
"6174","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika viurs",1,"",""
"6175","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","is the zika virus in mexico",1,"",""
"6176","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","islands with zika",1,"",""
"6177","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how many viki outbreaks have been registered in barbados",1,"",""
"6178","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika cdc recommendations women trying to get pregnant",1,"",""
"6179","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","mexico rash 2016",1,"",""
"6180","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","status of zika virus in caribbean",1,"",""
"6181","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","can i start tryong for baby after zika country",1,"",""
"6182","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc recommendations pregnancy",1,"",""
"6183","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","tulum mexico and zika virus",1,"",""
"6184","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","does dominican republic have zika",1,"",""
"6185","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","http://www.cdc.gov",1,"",""
"6186","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus pregnancy planning",1,"",""
"6187","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","where not to travel if you're trying to get pregnant",1,"",""
"6188","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","get pregnant after zika",1,"",""
"6189","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","is zika caught through semen or unprotected sex",1,"",""
"6190","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","pika virus jamaica",1,"",""
"6191","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika cuernavaca",1,"",""
"6192","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","us virgin islands and zika",1,"",""
"6193","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","st marteen zika virus??",1,"",""
"6194","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zikia virus",1,"",""
"6195","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika flight risks",1,"",""
"6196","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","centers for disease control",1,"",""
"6197","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","center of disease control",1,"",""
"6198","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","virus south america",1,"",""
"6199","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how to get pregnant after contact",1,"",""
"6200","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","risque zika",1,"",""
"6201","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus travel advice",1,"",""
"6202","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika peru",1,"",""
"6203","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","mosquito mexico pregnant",1,"",""
"6204","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","should you travel to zika infected countries if planning pregnancy",1,"",""
"6205","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika why wait 8 weeks",1,"",""
"6206","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","dominican republic and zika",1,"",""
"6207","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how dominant is the zika virus in mexico to date",1,"",""
"6208","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika%",1,"",""
"6209","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika jamaica",1,"",""
"6210","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc recommendations regarding zika virus",1,"",""
"6211","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","ecuador zika",1,"",""
"6212","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","where cant u travel if your pregnant zika",1,"",""
"6213","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika in panama",1,"",""
"6214","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc zeka red flag fiji",1,"",""
"6215","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus info",1,"",""
"6216","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how long not to get pregnant after zika",1,"",""
"6217","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how long should u wait to have a baby after going to a zika virus country",1,"",""
"6218","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus 2017 tobago",1,"",""
"6219","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how long to wait to get pregnant after travelling somewhere with zika",1,"",""
"6220","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus endemic in jamaica",1,"",""
"6221","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","tulum zika",1,"",""
"6222","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","how long to wait to get pregnant zika cdc",1,"",""
"6223","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika virus in singapore",1,"",""
"6224","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zica risks",1,"",""
"6225","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","zika pregnancy waiting",1,"",""
"6226","Women & Their Partners Who are Thinking about Pregnancy | Zika virus | CDC","cdc zika threat guatemala",1,"",""
"6227","About Zika Virus Disease | Zika virus | CDC","::empty::",58573,"",""
"6228","About Zika Virus Disease | Zika virus | CDC","::unspecified::",26771,"",""
"6229","About Zika Virus Disease | Zika virus | CDC","zika virus",1140,"",""
"6230","About Zika Virus Disease | Zika virus | CDC","zika",242,"",""
"6231","About Zika Virus Disease | Zika virus | CDC","cdc zika",193,"",""
"6232","About Zika Virus Disease | Zika virus | CDC","zika cdc",107,"",""
"6233","About Zika Virus Disease | Zika virus | CDC","cdc",97,"",""
"6234","About Zika Virus Disease | Zika virus | CDC","cdc zika virus",80,"",""
